co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi
400.54,0,6.68,21.1,1.77,6.63,8.3,1.74,1
390.53,0,6.51,19.67,1.79,6.84,9.01,1.98,1
370.5,0,6.17,18.42,1.76,6.87,9.32,2.12,1
353.81,0,5.66,17.88,1.55,6.87,9.3,2.03,1
340.46,0,5.01,17.7,1.3,6.76,9.1,1.81,1
330.45,0,4.5,17.35,1.13,6.66,8.98,1.58,1
327.11,0,4.24,16.63,1.04,6.66,9.05,1.47,1
333.79,0,4.2,15.91,0.98,6.87,9.41,1.43,1
337.12,0,4.16,15.38,0.93,7.12,9.84,1.41,1
330.45,0,3.98,15.74,0.89,7.07,9.84,1.39,1
320.44,0.05,3.81,17.17,0.88,6.55,9.18,1.36,1
303.75,0.12,3.64,19.49,0.89,5.59,7.65,1.28,1
290.39,0.2,3.34,21.99,0.88,4.61,6.11,1.19,1
283.72,0.24,3,26.11,0.87,4.02,5.27,1.22,1
270.37,0.15,2.27,32.19,0.71,3.27,4.22,1.08,1
263.69,0.09,1.82,34.69,0.57,2.91,3.67,1.03,1
260.35,0.06,1.59,35.41,0.49,2.54,3.17,1.08,1
250.34,0.03,1.48,34.33,0.46,2.11,2.59,1.01,1
253.68,0.03,1.65,32.9,0.51,2.15,2.61,1.06,1
267.03,0.03,2.08,32.54,0.64,2.48,2.97,1.17,1
310.42,0.11,3.81,26.82,1,3.56,4.38,1.54,1
387.19,0.13,6.6,19.67,1.46,5.54,7.05,1.96,1
453.95,0.02,8.23,13.77,1.73,7.78,10.15,2.34,1
487.33,0.03,8.23,11.36,1.76,9.53,12.63,2.57,1
494,0.03,7.63,10.37,1.62,10.57,13.79,2.31,2
507.36,0.03,7.37,9.57,1.54,10.98,13.94,2.06,2
507.36,0.03,7.28,8.4,1.49,10.66,13.24,1.87,2
507.36,0.05,7.03,6.8,1.36,10.55,12.8,1.79,2
500.68,0.04,6.34,5.99,1.16,10.46,12.34,1.73,2
487.33,0.04,5.74,5.72,0.95,10.61,12.5,1.81,2
473.98,0.04,5.4,5.99,0.85,10.7,13.05,1.92,2
440.6,0.03,5.1,6.88,0.81,10.14,12.91,1.88,2
413.9,0.02,4.76,8.05,0.78,9.27,12.21,1.81,1
400.54,0.02,4.54,8.76,0.75,8.57,11.55,1.77,1
393.87,0.13,4.46,10.01,0.79,8.08,11.06,1.77,1
383.85,0.2,4.5,12.7,0.83,7.4,10.03,1.62,1
377.18,0.13,4.54,13.95,0.8,6.85,8.93,1.38,1
360.49,0.1,3.98,15.91,0.69,6.04,7.6,1.16,1
313.76,0.08,2.83,20.74,0.46,4.1,4.97,0.8,1
287.06,0.1,2.19,23.6,0.37,3.1,3.65,0.71,1
283.72,0.12,1.95,25.39,0.35,2.83,3.28,0.74,1
280.38,0.1,1.8,27.18,0.34,2.64,3.04,0.77,1
280.38,0.06,1.8,27.18,0.37,2.64,3.02,0.82,1
283.72,0.03,1.93,26.82,0.43,2.68,3.04,0.9,1
303.75,0.09,2.74,22.89,0.61,3.12,3.69,1.31,1
340.46,0.12,4.16,17.88,0.83,4.13,5.09,1.63,1
380.52,0.01,5.31,12.7,0.98,5.4,6.86,1.77,1
417.23,0.02,6.08,9.39,1.09,6.83,8.85,1.96,1
453.95,0.03,6.51,7.87,1.1,8.03,10.43,1.98,1
480.65,0.03,6.6,7.42,1.07,8.98,11.58,1.93,1
494,0.02,6.51,7.69,1,9.65,12.26,1.85,1
507.36,0.02,6.34,8.14,0.86,10.27,12.76,1.81,2
514.03,0.01,6,8.58,0.75,11.05,13.47,1.84,2
534.06,0.01,5.91,8.23,0.72,12.22,14.66,1.9,2
554.09,0.02,5.83,6.8,0.7,13.49,16.16,1.92,2
560.76,0.04,5.66,5.32,0.68,14.31,17.2,2,2
554.09,0.06,5.48,4.16,0.64,14.66,17.85,2.03,2
540.73,0.07,5.18,3.8,0.64,14.25,17.84,2.06,2
507.36,0.38,4.67,5.81,0.75,12.59,16.33,2.09,2
440.6,0.64,4.11,12.16,0.79,9.57,12.75,1.96,1
413.9,0.45,3.98,15.91,0.77,8.34,11.28,1.85,1
377.18,0.2,3.38,20.03,0.67,6.9,9.44,1.71,1
307.08,0.08,2.14,23.96,0.48,4.52,6.16,1.31,1
270.37,0.06,1.48,25.39,0.39,3.04,4.09,1.05,1
263.69,0.05,1.31,26.46,0.37,2.58,3.38,0.97,1
270.37,0.03,1.32,27.18,0.43,2.53,3.19,0.92,1
283.72,0.02,1.5,26.46,0.51,2.89,3.53,1,1
293.73,0.01,1.71,25.39,0.59,3.19,3.84,1.14,1
337.12,0.02,3.43,17.35,0.86,4.13,5.22,1.79,1
403.88,0.06,5.74,9.03,1.18,5.77,7.67,2.22,1
453.95,0.13,6.77,4.51,1.3,7.53,10.3,2.5,1
473.98,0.26,6.34,2.44,1.25,8.98,12.56,2.69,1
494,0.37,5.83,1.52,1.09,10.44,14.39,2.28,2
527.38,0.35,6.26,1.61,0.98,12.13,15.87,1.98,2
520.71,0.03,6.6,4.96,0.89,11.66,14.11,1.79,2
520.71,0.02,6.08,5.32,0.71,11.65,13.36,1.69,2
500.68,0.02,5.66,4.74,0.56,11.31,12.61,1.68,2
507.36,0.03,6.6,3.49,0.7,11.91,13,1.74,2
547.41,0.06,8.48,2.37,1.03,14.28,15.43,1.77,2
594.14,0.07,10.03,2.57,1.28,16.67,17.94,1.69,2
574.11,0.02,9.85,4.29,1.22,16.13,17.39,1.55,2
534.06,0.01,8.82,5.36,1.06,14.93,16.3,1.55,2
507.36,0.19,7.71,6.26,1.03,13.79,15.47,1.71,2
494,0.94,6.26,8.23,1.09,13.13,15.14,1.9,2
473.98,1.38,5.14,12.34,1.18,12.15,14.48,2.03,2
417.23,0.96,4.28,22.17,1.24,10.22,12.63,1.93,2
330.45,0.38,2.64,35.41,1.03,7.62,9.45,1.44,1
293.73,0.18,1.65,42.56,0.81,6.59,7.98,1.16,1
283.72,0.12,1.27,46.49,0.69,6.37,7.57,1.05,1
273.71,0.1,1.02,46.49,0.54,5.53,6.49,0.9,1
267.03,0.1,0.89,46.49,0.45,4.95,5.76,0.88,1
270.37,0.11,0.95,47.21,0.45,5.29,6.08,1.01,1
300.41,0.18,1.95,45.42,0.68,6.85,7.9,1.58,1
343.8,0.11,3.64,39.34,0.97,9.13,10.56,1.96,1
380.52,0,4.88,33.26,1.18,10.99,12.76,1.9,2
407.22,0,5.57,29.68,1.33,12.21,14.25,1.87,2
427.25,0,6.08,25.39,1.4,12.52,14.78,1.9,2
453.95,0,6.26,21.1,1.33,12.54,15.01,1.92,2
480.65,0,6.08,16.99,1.13,12.51,15.03,1.88,2
514.03,0.01,6.86,12.52,1.31,13.51,15.91,1.79,2
580.79,0.01,11.65,7.33,2.77,17.88,20.32,1.68,2
700.95,0.05,18.85,3.26,4.89,25.81,28.71,1.55,4
841.14,0.29,22.62,1.19,5.19,33.02,36.02,1.46,4
907.9,0.88,21.76,0.51,4.17,35.09,37.65,1.39,4
867.84,1.16,18.85,0.58,2.86,31.11,33.38,1.46,4
747.68,0.55,15.59,1.41,2.06,24.11,26.4,1.62,3
627.52,0.18,12.51,3.26,1.67,17.92,20.41,1.79,2
547.41,0.32,10.71,4.83,1.71,14.27,16.98,1.88,2
514.03,0.54,10.2,5.32,1.97,12.84,15.62,1.84,2
494,0.56,9.68,7.06,2.09,11.68,14.35,1.73,2
423.91,0.36,6.94,14.66,1.58,7.3,8.96,1.22,1
373.84,0.36,5.06,21.28,1.24,4.62,5.59,0.94,1
350.48,0.38,4.07,27.9,1.07,3.14,3.75,0.84,1
330.45,0.27,3.3,34.33,0.95,2.55,3.01,0.85,1
320.44,0.14,3.09,35.41,0.92,2.63,3.06,0.93,1
330.45,0.08,3.34,35.05,0.97,3.36,3.83,1.01,1
357.15,0.05,4.11,33.26,1.18,4.85,5.36,1.11,1
390.53,0.02,5.23,30.04,1.48,6.66,7.26,1.12,1
420.57,0,6.17,26.46,1.74,8.18,8.88,1.12,1
447.27,0,6.77,24.32,1.77,9.51,10.4,1.22,1
487.33,0,7.37,22.17,1.85,11.36,12.54,1.38,2
527.38,0,8.14,19.31,2.09,13.56,15.05,1.46,2
580.79,0,9.51,15.56,2.44,16.29,17.93,1.47,2
627.52,0.01,12,10.91,2.89,19.59,21.25,1.43,2
687.6,0.01,15.42,6.35,3.52,24.11,25.95,1.41,3
741.01,0.03,17.82,3.53,3.76,27.72,29.89,1.44,4
787.74,0.06,18.51,2.3,3.55,30.44,32.79,1.41,4
814.44,0.14,18.17,1.9,3.16,32.25,34.57,1.36,4
814.44,0.31,17.14,1.88,2.74,31.34,33.32,1.24,4
754.36,0.23,14.74,2.75,2.09,25.71,27.08,1.09,4
667.57,0.13,11.31,5.45,1.55,17.96,18.83,0.96,2
620.84,0.41,9.25,7.87,1.36,12.59,13.31,0.9,2
580.79,0.64,7.45,11.62,1.34,9.24,9.97,0.94,1
527.38,0.54,6.43,18.95,1.42,7.75,8.52,1.03,1
440.6,0.33,4.84,30.76,1.3,6.37,7,0.87,1
420.57,0.26,4.03,39.7,1.3,6.92,7.47,0.9,1
440.6,0.23,3.81,47.92,1.59,7.6,8.09,0.98,1
460.63,0.2,3.68,55.08,2.12,7.92,8.37,1.05,1
473.98,0.15,3.73,57.94,2.59,8.07,8.51,1.05,1
494,0.11,4.16,54.36,2.95,8.48,8.93,0.98,1
527.38,0.07,4.54,50.07,2.68,8.81,9.31,0.99,1
587.46,0.02,5.57,46.49,2.62,10.35,11.02,1.11,2
667.57,0,7.97,40.05,3.37,13.22,14.11,1.2,2
781.06,0,14.22,28.97,6.68,19.36,20.47,1.16,2
867.84,0,19.36,19.31,9.06,26.42,27.79,1.14,4
894.55,0,21.25,13.77,9.3,31.53,33.12,1.17,4
907.9,0.01,21.94,10.28,8.7,35.34,37.11,1.2,4
907.9,0.01,23.65,7.33,8.23,39.4,41.4,1.14,4
934.6,0.02,27.08,4.65,8.35,44.02,46.37,1.08,4
1028.06,0.05,31.53,2.21,8.82,51.51,54.44,1.05,5
1161.58,0.28,35.99,0.87,9.42,59.86,63.45,1.06,5
1241.68,0.76,37.7,0.48,9.66,65.85,69.81,1.09,5
1188.28,0.55,37.01,0.84,9.42,64.24,67.92,0.98,5
1121.52,0.2,34.27,1.42,8.35,60.75,64.16,1.06,5
1041.41,0.36,28.79,3.22,6.8,54.42,57.62,1.24,5
934.6,2.18,19.71,10.28,5.25,44.94,47.64,1.3,4
867.84,2.63,13.71,27.9,4.17,38.9,41.26,1.36,4
814.44,1.34,9.34,65.09,3.31,37.47,39.64,1.46,4
734.33,0.39,4.2,95.84,2.35,36.4,38.27,1.41,4
634.19,0.15,2.36,87.26,1.54,27.56,28.92,1.25,4
540.73,0.08,2.08,71.53,1.18,18.68,19.62,1.08,2
480.65,0.04,2.08,62.94,1.09,13.56,14.22,0.93,2
460.63,0.05,2.23,61.51,1.12,12.94,13.46,0.89,2
467.3,0.05,2.61,60.8,1.28,14.41,14.89,0.93,2
494,0.1,3.51,56.51,1.51,16.46,17.05,1.14,2
547.41,0.07,5.01,49.35,1.67,19.31,20.17,1.33,2
614.17,0,6.26,41.49,1.7,22.06,23.25,1.46,3
674.25,0,6.6,37.91,1.58,25.81,27.37,1.58,4
734.33,0,7.2,34.33,1.88,30.03,31.96,1.69,4
794.41,0,9.51,27.54,3.34,35.76,38.07,1.69,4
881.2,0,14.4,19.49,5.96,44.36,47.19,1.52,4
974.66,0,21.59,11.98,8.7,55.55,59.08,1.28,5
1094.82,0.01,29.82,6.53,10.61,68.25,72.88,1.16,5
1228.33,0.03,34.96,3.22,10.37,78.8,84.54,1.27,5
1308.44,0.08,33.59,1.97,7.87,82.53,88.68,1.49,5
1295.09,0.1,28.79,1.92,5.36,80.04,85.84,1.68,5
1228.33,0.07,23.31,2.53,3.7,74.33,79.57,1.81,5
1081.47,0.04,17.48,4.29,2.47,61.35,65.92,1.92,5
867.84,0.06,11.82,7.51,1.82,41.84,45.77,1.93,4
660.9,0.14,8.48,11.98,1.61,24.43,27.43,1.66,3
554.09,0.19,6.77,15.56,1.4,16.51,18.81,1.35,2
473.98,0.18,5.27,21.46,1.15,11.88,13.76,1.17,2
390.53,0.15,3.47,30.04,0.78,7.72,8.98,0.86,1
353.81,0.12,2.68,34.69,0.62,6.16,7.06,0.75,1
357.15,0.1,2.53,37.91,0.62,6.74,7.53,0.81,1
363.83,0.09,2.51,39.7,0.65,7.68,8.45,0.86,1
360.49,0.07,2.34,38.98,0.61,7.79,8.49,0.84,1
340.46,0.04,2.16,36.12,0.58,6.87,7.46,0.78,1
330.45,0.04,2.49,31.11,0.69,6.11,6.71,0.86,1
343.8,0.01,3.38,25.75,0.89,6.32,7.09,1.06,1
363.83,0,4.28,21.82,1.04,6.95,7.93,1.22,1
400.54,0,5.48,19.67,1.25,8.25,9.55,1.43,1
447.27,0,6.51,17.35,1.45,9.87,11.48,1.58,1
487.33,0.01,7.11,15.2,1.51,11.37,13.22,1.68,2
520.71,0.01,7.37,13.77,1.4,12.66,14.42,1.73,2
540.73,0.01,7.03,13.23,1.15,13.48,15.05,1.69,2
560.76,0.01,6.34,12.52,0.86,14,15.28,1.65,2
580.79,0.01,6.08,10.91,0.72,14.45,15.46,1.62,2
607.49,0.01,6.68,8.94,0.78,15.17,16.07,1.58,2
627.52,0.01,7.63,7.6,0.93,16.24,17.15,1.58,2
640.87,0.01,8.31,7.06,1.03,17.44,18.4,1.57,2
640.87,0.01,8.4,7.51,1.06,18.33,19.35,1.52,2
640.87,0.02,8.05,9.21,1.13,18.62,19.73,1.46,2
627.52,0.08,7.54,11.98,1.21,17.9,19.01,1.3,2
607.49,0.16,6.77,15.56,1.16,16.77,17.82,1.16,2
580.79,0.19,5.91,20.03,1.07,15.34,16.25,1.05,2
527.38,0.18,4.46,30.4,0.9,13.11,13.75,0.82,2
514.03,0.11,3.51,37.91,0.84,12.47,12.98,0.74,2
514.03,0.07,2.83,43.99,0.78,12.46,12.94,0.77,2
494,0.05,2.23,47.92,0.66,11.87,12.34,0.82,2
447.27,0.04,1.84,47.92,0.54,9.84,10.3,0.93,1
407.22,0.04,1.76,45.42,0.51,7.92,8.38,1.11,1
440.6,0.11,4.24,27.9,0.9,8.85,10.01,2.28,1
527.38,0.1,7.37,12.16,1.3,12.08,14.35,2.91,2
607.49,0.14,9.08,5.5,1.58,15.75,19.16,3.55,2
680.92,0.3,9.85,3.13,1.7,19.88,24.63,4.02,2
727.65,0.42,8.74,2.1,1.34,23,28.51,2.82,3
741.01,0.39,7.28,2.15,1.03,24.32,29.71,2.01,3
700.95,0.02,6.94,6.62,0.91,21,24.02,1.98,3
694.28,0.02,5.91,5.81,0.69,20.48,22.62,1.74,3
674.25,0.01,5.06,6.62,0.54,19.86,21.38,1.66,2
640.87,0.01,4.41,8.94,0.45,19.12,20.27,1.68,2
620.84,0,3.73,10.91,0.38,18.52,19.51,1.69,2
600.82,0,3.21,11.98,0.32,18.57,19.5,1.57,2
580.79,0,6.68,10.55,1.09,23.44,24.57,1.17,3
607.49,0.02,16.45,5.45,3.43,39.83,41.94,0.82,4
727.65,0.76,26.39,2.46,5.9,63.83,67.84,0.89,5
894.55,2.6,27.42,4.16,5.66,73.09,77.82,1.46,5
1041.41,2.49,25.36,5.5,4.05,71.26,75.58,2,5
1094.82,1.22,22.62,8.14,2.71,64.11,67.91,2.19,5
834.47,0.89,11.65,26.82,1.39,39.48,41.83,1.73,4
654.22,0.31,6.08,42.2,0.87,26.23,27.83,1.46,4
554.09,0.19,3.04,52.21,0.68,19.95,21.16,1.3,2
467.3,0.1,1.44,58.65,0.54,15.78,16.7,1.11,2
403.88,0.05,1.03,55.08,0.45,12.84,13.54,0.96,2
360.49,0.04,0.94,50.78,0.4,10.79,11.34,0.9,2
387.19,0.12,3.21,30.76,0.75,11.28,12.38,1.84,2
460.63,0.11,5.74,14.13,1.1,13.91,16.01,2.31,2
500.68,0.08,6.34,7.33,1.22,16.3,19.36,2.63,2
534.06,0.13,6.6,5.41,1.31,19.04,23.06,3.1,2
554.09,0.11,6.17,5.59,1.18,21.33,25.87,2.79,3
540.73,0.06,5.27,7.15,0.98,22.14,26.63,2.31,3
527.38,0.09,4.84,6.35,0.86,22.5,27.05,2.22,3
534.06,0.27,4.76,2.91,0.73,23.53,28.6,2.6,3
520.71,0.52,4.11,1.33,0.66,23.22,28.4,3.26,3
473.98,0.71,3.26,0.87,0.6,22.02,27.04,3.58,3
433.92,0.75,2.59,0.92,0.47,20.81,24.43,2.6,3
400.54,0.49,2.38,1.7,0.36,19.48,21.55,1.77,2
360.49,0.05,1.95,4.78,0.28,16.57,17.61,1.25,2
347.14,0.05,1.69,4.07,0.3,15.76,16.75,1.28,2
360.49,0.33,1.86,5.14,0.52,16.06,17.48,1.49,2
367.17,0.27,1.56,26.11,0.53,14.62,15.98,1.19,2
370.5,0.29,1.39,33.62,0.63,14.41,15.99,1.24,2
370.5,0.22,1.07,41.49,0.69,14.41,16.17,1.36,2
373.84,0.09,0.56,54.36,0.51,14.48,15.46,1.03,2
373.84,0.07,0.5,54.36,0.47,13.44,14.17,0.9,2
357.15,0.05,0.53,50.78,0.43,11.95,12.57,0.83,2
347.14,0.06,0.54,47.92,0.4,11.25,11.84,0.82,2
343.8,0.07,0.56,45.78,0.4,11.3,11.91,0.87,2
347.14,0.08,0.64,45.42,0.43,11.53,12.17,0.97,2
390.53,0.26,2.55,37.19,0.88,12.93,14.14,2.09,2
460.63,0.14,5.66,23.96,1.39,15.56,17.76,3.01,2
500.68,0.01,6.94,14.31,1.54,17.48,20.63,2.82,2
500.68,0.03,6.34,11,1.45,18.15,21.72,2.38,2
507.36,0.03,5.91,9.21,1.33,18.67,22.2,2.19,2
540.73,0.04,6.17,7.87,1.27,20.19,23.66,2.15,3
574.11,0.03,6.51,7.69,1.09,21.16,24.2,1.98,3
554.09,0.02,5.74,7.06,0.81,19.71,22.25,1.76,2
487.33,0.01,4.41,7.24,0.57,15.97,17.78,1.55,2
427.25,0.01,3.26,7.87,0.41,12.8,14.11,1.44,2
427.25,0.02,3,6.17,0.37,12.72,13.94,1.57,2
427.25,0.03,2.87,5.54,0.35,12.91,14.01,1.66,2
420.57,0.03,2.7,5.68,0.34,12.86,13.89,1.76,2
403.88,0.03,2.42,5.9,0.35,12.23,13.31,1.65,2
393.87,0.1,2.44,5.99,0.49,11.72,13.14,1.57,2
360.49,0.08,2.01,15.56,0.48,9.76,10.91,1.05,1
347.14,0.07,1.8,18.6,0.51,8.48,9.56,0.93,1
333.79,0.06,1.41,20.92,0.48,7.63,8.65,0.9,1
327.11,0.04,0.78,27.54,0.3,6.87,7.49,0.63,1
320.44,0.04,0.56,27.9,0.24,5.62,6.06,0.57,1
313.76,0.04,0.53,27.18,0.24,4.88,5.27,0.57,1
313.76,0.05,0.57,25.75,0.24,4.51,4.87,0.58,1
313.76,0.07,0.64,24.68,0.27,4.26,4.64,0.69,1
317.1,0.1,0.78,24.68,0.33,4.28,4.72,0.87,1
347.14,0.19,1.99,23.25,0.65,5.07,5.87,1.6,1
393.87,0.08,3.94,18.06,0.97,6.64,7.95,1.96,1
413.9,0.01,4.5,12.7,0.97,7.69,9.32,1.6,1
400.54,0.01,3.6,10.46,0.81,7.67,9.44,1.38,1
383.85,0.01,2.96,8.67,0.72,7.53,9.32,1.43,1
390.53,0.02,2.83,6.97,0.74,8.12,9.97,1.55,1
407.22,0.02,2.83,6.8,0.67,8.76,10.29,1.49,1
410.56,0.01,2.7,8.14,0.49,8.85,9.9,1.3,1
403.88,0,2.16,11.09,0.33,8.42,9.12,1.14,1
390.53,0,1.67,14.84,0.26,7.68,8.18,1,1
380.52,0,1.44,15.91,0.27,7.3,7.75,1,1
373.84,0,1.35,15.74,0.32,7.15,7.6,1.05,1
367.17,0,1.32,15.2,0.36,7.02,7.5,1.05,1
367.17,0,1.36,14.84,0.4,6.95,7.48,1,1
377.18,0.01,1.76,15.02,0.57,7.21,7.91,0.97,1
390.53,0.06,2.34,15.74,0.75,7.59,8.55,0.91,1
407.22,0.16,2.55,18.6,0.91,8,9.22,0.86,1
420.57,0.24,2.29,26.46,1.03,8.69,10,0.88,1
487.33,0.24,3.04,56.51,1.58,15.14,16.01,0.2,2
487.33,0.16,2.72,70.81,1.45,17.59,18.28,0.01,2
460.63,0.12,2.29,74.39,1.19,16.79,17.41,0.12,2
447.27,0.14,2.83,57.22,1.09,14.74,15.7,1.19,2
473.98,0.16,4.54,50.07,1.64,14.12,15.8,3.39,2
534.06,0.13,7.11,50.07,2.47,15.45,17.87,6.08,2
607.49,0.07,10.88,47.92,3.4,18.37,21.54,8.87,2
640.87,0.02,12.34,39.7,3.58,20.33,23.91,9.5,3
647.54,0,10.28,26.82,2.8,21.16,24.62,7.16,3
700.95,0,9,18.06,1.85,24.96,28.04,3.04,3
801.09,0,9.17,15.56,1.51,32.88,35.71,1.88,4
854.49,0,8.82,18.24,1.33,40.73,43.11,1.55,4
814.44,0,6.26,40.77,2.77,50.18,51.6,1.12,5
867.84,0,5.66,44.35,6.68,70.72,72.02,0.86,5
961.3,0,5.36,47.21,9.66,97.17,98.43,0.65,5
1001.36,0,4.46,47.21,8.11,113.24,114.48,0.87,5
988.01,0,3.56,40.77,4.83,117.3,118.58,1.25,5
947.95,0,2.96,34.33,2.92,114.69,115.95,1.44,5
881.2,0,2.51,29.33,1.88,107.26,108.46,1.43,5
847.82,0,2.36,26.82,1.46,99.83,101.07,1.36,5
847.82,0.02,2.87,30.76,1.59,95.98,97.6,1.43,5
947.95,0.07,3.17,62.23,3.01,98.97,100.53,0.06,5
1001.36,0.15,3.51,63.66,3.19,99.33,101.06,0,5
1054.76,0.22,3.3,70.81,3.22,99.51,101.26,0,5
1054.76,0.11,2.83,74.39,2.92,84.48,85.72,0,5
1001.36,0.11,2.57,69.38,2.41,68.32,69.29,0.17,5
988.01,0.13,2.46,67.95,2.24,61.34,62.22,0.42,5
947.95,0.13,2.38,65.09,1.97,54.16,54.98,0.58,5
934.6,0.11,2.44,63.66,1.71,49.43,50.23,0.78,4
907.9,0.08,2.61,65.09,1.58,44.91,45.71,1,4
947.95,0.14,5.91,42.2,1.76,44.59,46.23,2.44,4
1028.06,0.08,9.68,21.82,2.03,48.12,51.06,3.1,4
1068.12,0.02,11.31,12.34,2.21,51.13,55.49,3.36,5
1094.82,0.04,11.31,9.39,2.18,53.74,59.22,3.42,5
1121.52,0.08,9.94,7.06,1.77,55.41,61.05,2.72,5
1134.87,0.09,8.48,6.97,1.54,56.38,61.5,2.15,5
1121.52,0.01,7.54,15.56,1.73,56.65,60.09,1.98,5
1161.58,0.03,7.11,10.28,1.57,62.38,65.55,2.12,5
1174.93,0.05,6.26,6.08,1.19,66,69.02,2.34,5
1134.87,0.07,5.23,3.89,0.93,65.38,67.94,2.34,5
1121.52,0.09,4.8,2.95,0.88,65.65,67.72,2.09,5
1174.93,0.08,5.57,2.91,1.34,73.57,75.31,1.84,5
1375.2,0,14.4,9.92,7.87,115.74,117.27,0.05,5
1401.9,0,14.57,12.7,7.99,133.99,135.71,0,5
1375.2,0.22,12.34,15.38,6.5,138.42,140.49,0,5
1188.28,0.4,7.28,37.91,4.95,119.89,121.76,0,5
1108.17,0.37,5.23,53.64,3.87,110.54,112.32,0,5
1068.12,0.29,4.28,66.52,3.37,107.61,109.39,0.31,5
881.2,0.17,2.79,79.39,2.06,73.29,74.38,0.32,5
774.38,0.13,2.12,82.97,1.31,51.36,52.08,0.45,5
741.01,0.11,1.91,83.69,1.03,42.58,43.18,0.65,4
700.95,0.1,1.91,83.69,0.81,38.19,38.74,0.88,4
680.92,0.07,2.16,84.4,0.69,39.78,40.38,1.14,4
674.25,0.04,2.4,89.41,0.68,46.8,47.45,1.2,4
694.28,0.01,3.17,94.41,1.39,60.69,61.48,1.16,5
741.01,0,4.5,91.55,2.47,76.36,77.39,1.2,5
781.06,0,5.06,84.4,2.98,88.54,89.84,1.2,5
801.09,0,4.97,71.53,3.22,91.05,92.63,1.19,5
821.11,0,5.4,56.51,3.73,86.94,88.72,1.2,5
834.47,0,6.51,44.7,4.29,81.8,83.55,1.22,5
841.14,0,7.97,36.48,4.71,75.86,77.61,1.22,5
814.44,0,9.08,31.47,4.65,68.02,69.76,1.22,5
781.06,0,10.11,27.18,4.47,60.9,62.83,1.22,5
781.06,0,12.34,22.17,5.6,56.4,58.68,1.12,5
801.09,0,14.74,17.17,7.39,54.65,57.19,1.05,5
801.09,0,16.28,13.95,8.35,53.31,56,0.95,5
767.71,0,15.59,12.52,7.45,51.26,53.94,1,5
734.33,0,15.08,11.27,6.68,49.45,52.17,1,4
734.33,1.03,14.57,12.52,6.8,49.29,52.18,0.87,4
707.63,2.68,11.14,25.75,6.08,45.29,47.86,0.8,4
667.57,1.63,8.82,47.92,4.95,41.03,43.19,0.81,4
627.52,0.74,6.6,74.39,4.29,42.24,44.2,0.79,4
547.41,0.4,3.64,85.83,3.1,38.13,39.74,0.8,4
494,0.23,1.99,87.98,2.18,34.12,35.39,0.89,4
473.98,0.18,1.41,92.98,1.79,34.96,36.12,1.01,4
473.98,0.15,1.22,97.28,1.45,37.7,38.79,1.14,4
473.98,0.13,1.2,97.28,1.13,40.43,41.47,1.25,4
453.95,0.12,1.27,92.98,0.87,38.98,40,1.35,4
460.63,0.17,2.72,68.67,0.91,36.49,37.84,2.22,4
487.33,0.06,4.97,43.27,1.16,35.99,37.98,3.07,4
507.36,0,5.83,30.76,1.3,36.12,38.81,3.1,4
534.06,0,6.43,26.11,1.39,38.51,41.75,2.91,4
554.09,0,6.17,24.32,1.31,41.68,45.07,2.53,4
547.41,0,5.4,25.39,1.21,44.2,47.47,2.28,4
547.41,0,4.84,29.33,1.15,47.62,50.51,2.06,4
567.44,0,4.46,32.54,1.1,52.12,54.66,1.92,5
587.46,0,3.98,38.27,1.19,57.33,59.68,1.92,5
614.17,0,3.51,43.63,1.42,63.12,65.39,1.92,5
640.87,0,3.34,39.34,1.36,65.78,67.9,1.9,5
660.9,0,3.3,33.98,1.21,65.87,67.76,1.95,5
667.57,0,3.04,31.47,1.06,63.62,65.44,1.98,5
640.87,0,2.83,28.97,0.97,56.5,58.42,2.01,5
594.14,0.04,2.83,27.9,1,46.01,48.14,2.03,4
540.73,0.13,2.66,32.19,1.03,33.53,35.28,1.82,4
547.41,0.17,2.96,32.54,1.06,29.77,31.47,1.73,4
534.06,0.14,3.38,33.98,1.15,27.18,28.96,1.76,4
460.63,0.1,3.09,36.12,1.03,19.85,21.31,1.41,2
393.87,0.06,2.59,36.48,0.86,12.89,13.92,1.16,2
370.5,0.03,2.34,36.48,0.78,9.29,10.07,1.09,1
350.48,0.02,2.01,36.84,0.69,7.01,7.58,0.99,1
343.8,0.02,1.95,37.19,0.72,6.96,7.43,1,1
350.48,0.02,2.12,38.62,0.86,8.04,8.47,1.08,1
370.5,0.01,3,35.05,1.1,9.3,9.84,1.39,1
397.21,0,4.24,29.33,1.34,10.52,11.22,1.52,2
423.91,0,5.01,26.11,1.49,11.46,12.31,1.43,2
453.95,0,5.66,23.96,1.55,12.48,13.51,1.46,2
473.98,0,6,22.53,1.52,13.31,14.47,1.5,2
494,0,6,20.56,1.39,13.87,15.1,1.54,2
507.36,0,5.66,17.52,1.16,14.1,15.23,1.5,2
514.03,0.01,5.31,13.41,0.92,14.37,15.36,1.47,2
527.38,0.01,5.18,10.64,0.83,14.87,15.88,1.5,2
534.06,0.02,5.27,8.94,0.8,15.71,16.8,1.65,2
547.41,0.02,5.57,8.14,0.78,16.61,17.69,1.73,2
554.09,0.02,6,7.69,0.81,17.56,18.71,1.79,2
567.44,0.01,6.68,7.69,0.87,18.79,20.16,1.9,2
